Processed Data:
Y = y*x^2
Processed Data:
X = 1240/x
3.643116 926803.003392
3.641286 1739502.157815
3.639459 2321666.082000
3.637633 1161998.561610
3.635809 1163164.667040
3.633987 2212229.578851
3.632167 1631698.085304
3.630349 2916666.230625
3.628521 2102115.189042
3.626707 1870417.287424
3.624894 1521234.549133
3.623083 1054215.562500
3.621273 2462294.966061
3.619466 1995277.733888
3.617660 1644810.638366
3.615856 2116867.110408
3.614054 2707583.943575
3.612254 -353515.236528
3.610455 1651381.785326
3.608658 1771099.948860
3.606864 3427535.419109
3.605070 1301393.297600
3.603279 2605375.193542
3.601489 1303982.539244
3.599702 118661.647729
3.597916 1187794.867360
3.596131 3804716.295200
3.594349 1904245.443136
3.592568 476533.418596
3.590789 2981285.689600
3.589012 3461717.211029
3.587236 1553340.735700
3.585463 956847.978248
3.583691 2873383.299456
3.581921 1557954.703357
3.580152 3358910.612848
3.578375 2881926.448224
3.576610 3004970.245225
3.574847 2887617.826176
3.573085 3492645.958109
3.571326 2049431.329700
3.569568 2534144.742381
3.567811 2778225.032192
3.566057 2176403.125122
3.564304 2541634.939956
3.562553 1817238.663375
3.560804 4365659.221056
3.559056 1942199.002384
3.557310 3037665.552100
3.555566 2797394.895023
3.553823 3165374.326400
3.552082 2681019.578182
3.550343 3293566.505388
3.548606 3540999.223181
3.546870 3177796.877216
3.545136 4649016.923750
3.543404 3673866.087480
3.541673 2941965.928536
3.539944 3067542.073600
3.538217 3807466.831111
3.536491 4302948.891500
3.534768 4430208.297636
3.533045 4927253.791360
3.531325 3329137.974123
3.529606 3332381.218092
3.527889 3212084.335850
3.526173 4946477.693440
3.524459 4827507.279231
3.522747 4088785.536132
3.521037 3348621.123147
3.519328 5338169.450800
3.517621 4722032.194598
3.515915 5224152.911208
3.514211 4482188.625924
3.512509 4860411.838464
3.510808 4490881.488900
3.509110 5494171.318064
3.507412 4874548.004391
3.505717 7256342.257312
3.504023 5635365.598845
3.502330 6768975.735000
3.500639 6399098.358891
3.498950 6782059.241856
3.497263 6034316.206512
3.495577 7801845.066872
3.493893 8313198.895650
3.492210 7690816.912336
3.490529 7319624.998522
3.488850 5558166.007856
3.487172 8092386.362944
3.485496 7467345.478400
3.483821 8234646.989465
3.482148 8369369.870664
3.480477 7235035.680153
3.478807 10291238.336016
3.477139 8266326.784625
3.475482 10310938.434225
3.473818 9683736.531136
3.472154 10713334.306836
3.470492 10723596.307536
3.468832 10094942.790919
3.467174 10488322.307200
3.465517 11522584.054890
3.463861 11661751.221484
3.462207 12699083.569491
3.460555 14508758.054288
3.458905 15293721.137975
3.457255 12735488.656044
3.455608 15322915.115711
3.453962 16884163.472384
3.452318 19222423.552109
3.450675 17432877.037500
3.449034 19259047.066709
3.447394 18501101.885552
3.445756 22662741.284575
3.444119 23202782.126924
3.442484 24911547.268800
3.440851 28311847.779968
3.439219 27688751.651517
3.437588 30707724.223664
3.435960 31648531.488003
3.434332 34807274.401200
3.432706 36797569.571802
3.431092 39575036.888703
3.429469 43273057.001904
3.427848 45407725.323003
3.426228 48856190.286708
3.424610 54802118.740050
3.422994 57872169.605376
3.421379 63575011.879236
3.419765 67184905.207644
3.418153 71854335.659106
3.416543 78376638.942000
3.414934 86757035.695218
3.413326 94361275.239660
3.411720 100130347.072422
3.410116 109480158.275328
3.408513 119244468.624525
3.406912 130086766.671192
3.405312 140551500.055140
3.403713 151566604.142688
3.402126 166719486.667420
3.400530 180438788.073757
3.398936 193784328.774400
3.397344 206621785.055631
3.395753 226416900.042312
3.394164 245181085.033093
3.392576 264247298.203648
3.390989 279872204.373125
3.389404 304091967.866752
3.387821 316701402.299196
3.386239 336709158.524784
3.384658 358230289.155389
3.383079 373745678.183800
3.381502 387406985.018281
3.379935 400418133.656975
3.378360 417496752.438636
3.376787 428403795.671313
3.375215 435281486.145600
3.373645 438388720.191125
3.372076 448667959.950168
3.370509 446649068.609700
3.368943 443812996.396224
3.367378 443954272.710154
3.365815 438801925.547300
3.364254 427661949.810028
3.362694 420988004.112384
3.361135 412259561.004941
3.359587 392341370.829120
3.358031 386432625.406464
3.356477 370958671.853550
3.354924 352313567.113644
3.353372 341153899.173855
3.351822 326141008.603632
3.350274 309730035.678021
3.348727 293562538.658100
3.347181 283540634.308386
3.345637 268691963.353344
3.344094 256152933.139167
3.342561 246341530.444910
3.341021 234584620.457408
3.339483 224046597.490625
3.337945 216524899.819524
3.336410 209679709.135182
3.334875 199503496.865712
3.333342 192491109.097391
3.331811 185742592.434900
3.330281 179951890.724738
3.328752 175399200.342016
3.327233 170420328.323148
3.325707 163625786.259793
3.324183 161827850.021888
3.322660 155291076.447875
3.321138 153202984.781644
3.319618 148320273.462247
3.318099 143288768.664864
3.316581 142581216.773820
3.315065 138234441.670000
3.313559 135419268.322800
3.312045 133440527.078712
3.310533 131037110.182296
3.309023 125539790.232366
