Processed Data:
Y = (y * x^2) / (I*t)
Processed Data:
X = 1240/x
3.643116 64361319679999.984375
3.641286 64426005844999.984375
3.639459 46064803214285.703125
3.637633 27666632419285.707031
3.635809 101546121725714.296875
3.633987 138610875867857.140625
3.632167 18499978291428.570312
3.630349 83333320875000.000000
3.628521 27805756468809.527344
3.626707 148445816462222.218750
3.624894 74297169676825.390625
3.623083 74371468253968.250000
3.621273 9305725495317.458984
3.619466 102465243103492.046875
3.617660 65270263427222.203125
3.615856 84002663111428.578125
3.614054 140144096458333.328125
3.612254 -18704509869206.347656
3.610455 121700471707698.406250
3.608658 121821689604126.968750
3.606864 75041826362539.671875
3.605070 103285182349206.328125
3.603279 -9398900409603.171875
3.601489 131715408004444.437500
3.599702 37670364358412.695312
3.597916 75415547133968.250000
3.596131 94363003353174.593750
3.594349 122793604964126.968750
3.592568 132370394054444.406250
3.590789 132501586204444.390625
3.589012 66316421667222.218750
3.587236 75865237396825.390625
3.585463 151880631467936.500000
3.583691 38007715601269.835938
3.581921 104624552728492.046875
3.580152 114248660300952.359375
3.578375 133422520751111.093750
3.576610 200331349681666.656250
3.574847 76392005983492.062500
3.573085 143376270858333.312500
3.571326 66974880055555.539062
3.569568 239431665001984.062500
3.567811 297187632843174.625000
3.566057 182326540464365.062500
3.564304 57633445350476.195312
3.562553 67305135680555.546875
3.560804 67371284275555.539062
3.559056 96339236229365.062500
3.557310 183224271396507.875000
3.555566 173751235715714.312500
3.553823 164259351492063.500000
3.552082 135405029201111.093750
3.550343 222669105302539.687500
3.548606 135670468321111.093750
3.546870 48501173339682.531250
3.545136 135936167361111.078125
3.543404 87473002082857.156250
3.541673 155659572938412.687500
3.539944 68167601635555.554688
3.538217 194954778858730.125000
3.536491 48786268611111.101562
3.534768 48833865714682.531250
3.533045 215078538511746.000000
3.531325 107644084995158.718750
3.529606 127339670297460.312500
3.527889 205902842041666.656250
3.526173 166845477754920.625000
3.524459 186655755607222.187500
3.522747 216337859054603.156250
3.521037 147646434001190.437500
3.519328 187200479079365.000000
3.517621 88760003657857.156250
3.515915 148076896576190.468750
3.514211 88932314006428.578125
3.512509 365965075342222.187500
3.510808 217811712424603.156250
3.509110 257663157052063.437500
3.507412 188474587064365.031250
3.505717 258162149274920.656250
3.504023 347862074002777.812500
3.502330 248713100198412.687500
3.500639 139413907601111.093750
3.498950 239226075550476.156250
3.497263 488891359323888.812500
3.495577 269649023048571.375000
3.493893 229922528378968.218750
3.492210 480300822003809.562500
3.490529 350556752802777.812500
3.488850 350894318677777.812500
3.487172 431513657746269.812500
3.485496 452018491428571.375000
3.483821 462507645317936.437500
3.482148 352246206677777.687500
3.480477 513766109284047.625000
3.478807 605011072076190.500000
3.477139 403727803888888.875000
3.475482 444524094753968.312500
3.473818 505625341015873.000000
3.472154 546598689124285.687500
3.470492 425539536013333.250000
