Processed Data:
Y = (y * x^2) / (I*t)
Processed Data:
X = 1240/x
3.643116 57925187712000.000000
3.641286 96639008767499.984375
3.639459 19347217349999.996094
3.637633 135566498854499.953125
3.635809 77544311136000.015625
3.633987 368704929808500.062500
3.632167 77699908824000.000000
3.630349 -97222207687499.984375
3.628521 233568354338000.031250
3.626707 389670268213333.312500
3.624894 -39006014080333.328125
3.623083 214747614583333.312500
3.621273 97710117700833.312500
3.619466 -19561546410666.664062
3.617660 97905395140833.312500
3.615856 39201242785333.335938
3.614054 313922776066666.687500
3.612254 19639735362666.667969
3.610455 137615148777166.656250
3.608658 255825548168666.625000
3.606864 98492397100833.328125
3.605070 78872321066666.656250
3.603279 19737690860166.660156
3.601489 158058489605333.343750
3.599702 19776941288166.667969
3.597916 138576067858666.656250
3.596131 138713614929166.656250
3.594349 218194790359333.312500
3.592568 99277795540833.312500
3.590789 -119251427583999.968750
3.589012 258634044502166.687500
3.587236 358463246700000.000000
3.585463 219277661681833.343750
3.583691 159632405525333.312500
3.581921 279632895474333.281250
3.580152 -59980546657999.992188
3.578375 240160537352000.000000
3.576610 160265079745333.312500
3.574847 280740621989333.281250
3.573085 120436067520999.984375
3.571326 221017104183333.312500
3.569568 201122598601666.625000
3.567811 20132065450666.667969
3.566057 221670688669833.343750
3.564304 141201941108666.656250
3.562553 302873110562500.000000
3.560804 202113852826666.625000
3.559056 141618677257166.625000
3.557310 202511036806666.625000
3.555566 -40541955000333.335938
3.553823 365235499200000.062500
3.552082 162486035041333.312500
3.550343 121983944644000.000000
3.548606 0.000000
3.546870 407409856053333.250000
3.545136 285465951458333.250000
3.543404 285745140137333.375000
3.541673 306454784222500.000000
3.539944 184052524416000.031250
3.538217 163762014241333.312500
3.536491 204902328166666.625000
3.534768 328163577602666.625000
3.533045 225832465437333.312500
3.531325 -41100468816333.328125
3.529606 41140508865333.335938
3.527889 41180568408333.335938
3.526173 164882589781333.343750
3.524459 -20630372988166.664062
3.522747 144553024004666.625000
3.521037 475421517483833.250000
3.519328 227596371933333.281250
3.517621 124264005121000.031250
3.515915 290230717289333.312500
3.514211 41501746536333.335938
3.512509 103854953813333.312500
3.510808 103955590020833.328125
3.509110 353791334875333.250000
3.507412 145819812097166.625000
3.505717 417031164213333.375000
3.504023 292204142162333.312500
3.502330 417838008333333.312500
3.500639 418241722803333.312500
3.498950 334916505770666.625000
3.497263 356192276078833.312500
3.495577 398481334060666.625000
3.493893 398865603579166.562500
3.492210 420263219253333.312500
3.490529 147233836177166.656250
3.488850 357912205051333.312500
3.487172 210739228201666.656250
3.485496 421883925333333.250000
3.483821 380060630283000.000000
3.482148 295886813609333.250000
3.480477 296171051234333.375000
3.478807 529384688066666.687500
3.477139 445109903787500.062500
3.475482 806205062758333.375000
3.473818 403489022130666.687500
3.472154 531415392204166.687500
