Processed Data:
Y = (y * x^2) / (I*t)
Processed Data:
X = 1240/x
3.643116 502018293503999.937500
3.641286 579834052605000.000000
3.639459 386944346999999.875000
3.637633 735932422352999.750000
3.635809 562196255736000.062500
3.633987 679193291752500.000000
3.632167 446774475738000.000000
3.630349 311111064600000.000000
3.628521 817489240183000.125000
3.626707 798824049837333.375000
3.624894 468072168964000.000000
3.623083 546630291666666.562500
3.621273 644886776825500.000000
3.619466 508600206677333.250000
3.617660 665756686957666.500000
3.615856 627219884565333.375000
3.614054 706326246150000.125000
3.612254 648111266968000.125000
3.610455 668416436917666.625000
3.608658 728118867864666.500000
3.606864 531858944344500.000000
3.605070 690132809333333.250000
3.603279 592130725804999.875000
3.601489 651991269622000.000000
3.599702 632862121221333.375000
3.597916 673083758170666.625000
3.596131 792649228166666.625000
3.594349 733927931208666.500000
3.592568 774366805218499.875000
3.590789 655882851711999.875000
3.589012 795797060006666.750000
3.587236 896158116750000.000000
3.585463 717635983686000.000000
3.583691 598621520720000.000000
3.581921 639160903941333.250000
3.580152 779747106553999.875000
3.578375 800535124506666.625000
3.576610 841391668663000.000000
3.574847 661745751832000.000000
3.573085 662398371365500.000000
3.571326 522404064433333.250000
3.569568 744153614826166.500000
3.567811 785150552576000.125000
3.566057 604556423645000.000000
3.564304 665666293798000.000000
3.562553 949002413095833.250000
3.560804 929723723002666.500000
3.559056 566474709028666.500000
3.557310 769541939865333.250000
3.555566 770297145006333.375000
3.553823 771052720533333.375000
3.552082 1056159227768666.625000
3.550343 711573010423333.250000
3.548606 793672239678500.000000
3.546870 1120377104146666.500000
3.545136 856397854374999.875000
3.543404 918466521870000.125000
3.541673 939794671615666.625000
3.539944 1022514024533333.375000
3.538217 1003042337228166.625000
3.536491 717158148583333.250000
3.534768 1025511180008333.250000
3.533045 923860085879999.875000
3.531325 739808438693999.875000
3.529606 925661449470000.125000
3.527889 782430799758333.375000
3.526173 886243920074666.625000
3.524459 990257903432000.000000
3.522747 970570304031333.250000
3.521037 1136877541809166.500000
3.519328 1013838384066666.375000
3.517621 849137368326833.500000
3.515915 891422917388666.625000
3.514211 892287550531166.625000
3.512509 934694584320000.000000
3.510808 997973664200000.000000
3.509110 1102996514611333.000000
3.507412 1041570086408333.250000
3.505717 1084281026954666.750000
3.504023 1273175190850166.750000
3.502330 1044595020833333.375000
3.500639 1108340565428833.250000
3.498950 1360598304693333.000000
3.497263 1236196722861833.250000
3.495577 859880773499333.250000
3.493893 1322554369762499.750000
3.492210 1155723852946666.750000
3.490529 1093737068744666.625000
3.488850 1263219547240000.000000
3.487172 1011548295368000.000000
3.485496 1371122757333333.000000
3.483821 1076838452468499.875000
3.482148 1204682026837999.750000
3.480477 1205839280025500.250000
3.478807 1376400188973333.250000
3.477139 1526091098700000.250000
3.475482 1676057893629166.750000
3.473818 1125522009101333.375000
