Processed Data:
Y = (y * x^2) / (I*t)
Processed Data:
X = 1240/x
3.643116 23170075084800.000000
3.641286 -11596681052100.000000
3.639459 17412495614999.996094
3.637633 -40669949656349.992188
3.635809 17447470005600.003906
3.633987 58216567864500.007812
3.632167 23309972647200.000000
3.630349 0.000000
3.628521 70070506301400.007812
3.626707 52605486208800.007812
3.624894 11701804224100.000000
3.623083 -11713506250000.000000
3.621273 70351284744599.992188
3.619466 58684639231999.992188
3.617660 88114855626749.984375
3.615856 23520745671200.003906
3.614054 58860520512500.007812
3.612254 88378809132000.015625
3.610455 64875712994950.000000
3.608658 47229331969600.000000
3.606864 0.000000
3.605070 70985088959999.984375
3.603279 47370458064399.992188
3.601489 94835093763200.000000
3.599702 23732329545800.000000
3.597916 65328717704800.000000
3.596131 107007645802500.000000
3.594349 35704602058800.000000
3.592568 29783338662249.996094
3.590789 107326284825599.984375
3.589012 0.000000
3.587236 35846324670000.000000
3.585463 95684797824800.000000
3.583691 119724304144000.000000
3.581921 59921334744500.000000
3.580152 59980546657999.992188
3.578375 84056188073200.000000
3.576610 54089464414050.000000
3.574847 108285668481600.000000
3.573085 162588691153350.000000
3.571326 6027739204999.999023
3.569568 48269423664399.992188
3.567811 108713153433600.015625
3.566057 36273385418700.000000
3.564304 96824188188800.000000
3.562553 78747008746250.000000
3.560804 115204896111199.984375
3.559056 121387437648999.984375
3.557310 139732615396599.984375
3.555566 103381985250850.015625
3.553823 18261774960000.003906
3.552082 54839036826450.000000
3.550343 109785550179600.000000
3.548606 79367223967850.000000
3.546870 73333774089600.000000
3.545136 250802228781249.968750
3.543404 79600431895400.015625
3.541673 122581913689000.015625
3.539944 171782356121600.031250
3.538217 73692906408600.000000
3.536491 92206047675000.000000
3.534768 178438945321450.000000
3.533045 135499479262399.984375
3.531325 117136336126549.984375
3.529606 160447984574800.000000
3.527889 191489643098750.031250
3.526173 123661942336000.000000
3.524459 173295133100600.000000
3.522747 148683110404800.000000
3.521037 136425305017100.000000
3.519328 167593692059999.968750
3.517621 86984803584700.015625
3.515915 192796119342200.000000
3.514211 168082073472150.000000
3.512509 143319836262400.000000
3.510808 205832068241250.000000
3.509110 237248306916399.968750
3.507412 143736671924350.000000
3.505717 206430426285600.031250
3.504023 125230346641000.015625
3.502330 150421683000000.000000
3.500639 131746142683050.000000
3.498950 163271796563200.000000
3.497263 251429841938000.000000
3.495577 283131474200999.937500
3.493893 321191775513749.937500
3.492210 226942138396800.031250
3.490529 334431142173850.000000
3.488850 195799029822200.031250
3.487172 252887073842000.000000
3.485496 259458614080000.000000
3.483821 361057598768850.000000
3.482148 298000290849399.937500
3.480477 323672648848950.062500
3.478807 374804359151200.062500
3.477139 343370497207500.062500
3.475482 420075269542500.062500
3.473818 477815947260000.062500
3.472154 382619082387000.062500
3.470492 446816512814000.000000
