Wavelength_nm,Energy_eV,Counts
340.368,3.64265,26
340.539,3.64082,30
340.71,3.63899,20
340.881,3.63717,38
341.052,3.63535,29
341.223,3.63352,35
341.394,3.6317,23
341.565,3.62989,16
341.737,3.62806,42
341.908,3.62624,41
342.079,3.62443,24
342.25,3.62262,28
342.421,3.62081,33
342.592,3.619,26
342.763,3.6172,34
342.934,3.6154,32
343.105,3.61359,36
343.276,3.61179,33
343.447,3.61,34
343.618,3.6082,37
343.789,3.6064,27
343.96,3.60461,35
344.131,3.60282,30
344.302,3.60103,33
344.473,3.59924,32
344.644,3.59746,34
344.815,3.59567,40
344.986,3.59389,37
345.157,3.59211,39
345.328,3.59033,33
345.499,3.58855,40
345.67,3.58678,45
345.841,3.58501,36
346.012,3.58323,30
346.183,3.58146,32
346.354,3.5797,39
346.526,3.57792,40
346.697,3.57615,42
346.868,3.57439,33
347.039,3.57263,33
347.21,3.57087,26
347.381,3.56911,37
347.552,3.56736,39
347.723,3.5656,30
347.894,3.56385,33
348.065,3.5621,47
348.236,3.56035,46
348.407,3.5586,28
348.578,3.55686,38
348.749,3.55511,38
348.92,3.55337,38
349.091,3.55163,52
349.262,3.54989,35
349.433,3.54815,39
349.604,3.54642,55
349.775,3.54468,42
349.946,3.54295,45
350.117,3.54122,46
350.288,3.53949,50
350.459,3.53777,49
350.63,3.53604,35
350.801,3.53432,50
350.972,3.5326,45
351.143,3.53087,36
351.314,3.52916,45
351.485,3.52744,38
351.656,3.52572,43
351.827,3.52401,48
351.998,3.5223,47
352.169,3.52059,55
352.34,3.51888,49
352.511,3.51717,41
352.682,3.51547,43
352.853,3.51376,43
353.024,3.51206,45
353.195,3.51036,48
353.366,3.50866,53
353.537,3.50697,50
353.708,3.50527,52
353.879,3.50358,61
354.05,3.50188,50
354.221,3.50019,53
354.392,3.4985,65
354.563,3.49682,59
354.734,3.49513,41
354.905,3.49345,63
355.076,3.49177,55
355.247,3.49008,52
355.418,3.48841,60
355.589,3.48673,48
355.76,3.48505,65
355.931,3.48338,51
356.102,3.4817,57
356.273,3.48003,57
356.444,3.47836,65
356.615,3.4767,72
356.785,3.47504,79
356.956,3.47337,53
357.127,3.47171,70
357.298,3.47005,61
357.469,3.46839,67
357.64,3.46673,82
357.811,3.46508,90
357.982,3.46342,67
358.153,3.46177,87
358.324,3.46011,81
358.495,3.45846,87
358.666,3.45681,91
358.837,3.45517,94
359.008,3.45352,88
359.179,3.45188,86
359.35,3.45024,93
359.521,3.44859,100
359.692,3.44695,104
359.863,3.44532,106
360.034,3.44368,114
360.205,3.44205,116
360.376,3.44041,126
360.547,3.43878,129
360.718,3.43715,136
360.889,3.43552,145
361.06,3.43389,152
361.231,3.43227,171
361.401,3.43065,189
361.572,3.42903,192
361.743,3.42741,206
361.914,3.42579,218
362.085,3.42417,229
362.256,3.42256,258
362.427,3.42094,272
362.598,3.41933,308
362.769,3.41772,330
362.94,3.41611,379
363.111,3.4145,414
363.282,3.41289,444
363.453,3.41129,500
363.624,3.40968,541
363.795,3.40808,604
363.966,3.40648,668
364.137,3.40488,735
364.308,3.40328,810
364.478,3.40169,872
364.649,3.4001,990
364.82,3.3985,1063
364.991,3.39691,1163
365.162,3.39532,1224
365.333,3.39373,1317
365.504,3.39214,1440
365.675,3.39056,1551
365.846,3.38897,1617
366.017,3.38739,1711
366.188,3.38581,1766
366.359,3.38423,1802
366.53,3.38265,1819
366.701,3.38107,1896
366.871,3.3795,1893
367.042,3.37793,1878
367.213,3.37636,1883
367.384,3.37478,1824
367.555,3.37321,1832
367.726,3.37165,1783
367.897,3.37008,1663
368.068,3.36851,1636
368.239,3.36695,1563
368.41,3.36539,1485
368.581,3.36383,1429
368.752,3.36227,1317
368.923,3.36071,1262
369.093,3.35916,1166
369.264,3.3576,1119
369.435,3.35605,1038
369.606,3.3545,1011
369.777,3.35295,934
369.948,3.3514,886
370.119,3.34985,825
370.29,3.3483,777
370.461,3.34675,755
370.632,3.34521,725
370.803,3.34367,696
370.973,3.34214,649
371.144,3.3406,644
371.315,3.33906,610
371.486,3.33752,614
371.657,3.33598,590
371.828,3.33445,582
371.999,3.33292,558
372.17,3.33139,556
372.341,3.32986,533
372.512,3.32833,536
372.682,3.32681,528
372.853,3.32528,525
373.024,3.32376,528
373.195,3.32224,504
373.366,3.32071,512
373.537,3.31919,492
373.708,3.31768,501
373.879,3.31616,498
374.05,3.31464,513
374.22,3.31314,478
374.391,3.31162,482
374.562,3.31011,467
374.733,3.3086,458
374.904,3.30709,448
375.075,3.30558,446
375.246,3.30408,436
375.417,3.30257,446
375.588,3.30107,438
375.758,3.29958,436
375.929,3.29807,440
376.1,3.29658,439
376.271,3.29508,419
376.442,3.29358,417
376.613,3.29208,402
376.784,3.29059,442
376.955,3.2891,412
377.125,3.28762,444
377.296,3.28613,445
377.467,3.28464,453
377.638,3.28315,447
377.809,3.28166,471
377.98,3.28018,463
378.151,3.2787,465
378.321,3.27722,462
378.492,3.27574,488
378.663,3.27426,505
378.834,3.27278,500
379.005,3.27131,528
379.176,3.26983,542
